article,wikipedia-url,wikidata-id,OSM-tag
Rocky Mountains,http://en.wikipedia.org/wiki/Rocky_Mountains,5463,ridge
Oberlin College,http://en.wikipedia.org/wiki/Oberlin_College,616591,college
Surat,http://en.wikipedia.org/wiki/Surat,4629,city
Bengal,http://en.wikipedia.org/wiki/Bengal,80338,region
"Ann Arbor, Michigan",http://en.wikipedia.org/wiki/Ann_Arbor%2C_Michigan,485172,city
Coimbatore,http://en.wikipedia.org/wiki/Coimbatore,9885,city
College of William & Mary,http://en.wikipedia.org/wiki/College_of_William_%26_Mary,875637,college
Rajasthan,http://en.wikipedia.org/wiki/Rajasthan,1437,state
Montana,http://en.wikipedia.org/wiki/Montana,1212,state
Houston,http://en.wikipedia.org/wiki/Houston,16555,city
Biafra,http://en.wikipedia.org/wiki/Biafra,178469,state
Osaka,http://en.wikipedia.org/wiki/Osaka,35765,city
Australia (continent),http://en.wikipedia.org/wiki/Australia_%28continent%29,3960,continent
"Tulsa, Oklahoma",http://en.wikipedia.org/wiki/Tulsa%2C_Oklahoma,44989,city
Munnar,http://en.wikipedia.org/wiki/Munnar,1025124,town
"Berkeley, California",http://en.wikipedia.org/wiki/Berkeley%2C_California,484678,city
North America,http://en.wikipedia.org/wiki/North_America,49,continent
United States Military Academy,http://en.wikipedia.org/wiki/United_States_Military_Academy,9219,university
Epcot,http://en.wikipedia.org/wiki/Epcot,1052042,theme_park
Ohio River,http://en.wikipedia.org/wiki/Ohio_River,4915,river
University of Miami,http://en.wikipedia.org/wiki/University_of_Miami,738258,university
"Palm Springs, California",http://en.wikipedia.org/wiki/Palm_Springs%2C_California,488004,city
South India,http://en.wikipedia.org/wiki/South_India,542146,region
University of North Carolina at Chapel Hill,http://en.wikipedia.org/wiki/University_of_North_Carolina_at_Chapel_Hill,192334,university
University of British Columbia,http://en.wikipedia.org/wiki/University_of_British_Columbia,391028,university
Taj Mahal,http://en.wikipedia.org/wiki/Taj_Mahal,9141,monument
Pennsylvania,http://en.wikipedia.org/wiki/Pennsylvania,1400,state
Arlington National Cemetery,http://en.wikipedia.org/wiki/Arlington_National_Cemetery,216344,cemetery
Milwaukee,http://en.wikipedia.org/wiki/Milwaukee,37836,city
"Wichita, Kansas",http://en.wikipedia.org/wiki/Wichita%2C_Kansas,49266,city
Indianapolis,http://en.wikipedia.org/wiki/Indianapolis,6346,city
Gurgaon,http://en.wikipedia.org/wiki/Gurgaon,238508,city
"Jersey City, New Jersey",http://en.wikipedia.org/wiki/Jersey_City%2C_New_Jersey,26339,city
London Stock Exchange,http://en.wikipedia.org/wiki/London_Stock_Exchange,171240,commercial
Olympic National Park,http://en.wikipedia.org/wiki/Olympic_National_Park,372093,national_park
Ahmedabad,http://en.wikipedia.org/wiki/Ahmedabad,1070,city
National Stock Exchange of India,http://en.wikipedia.org/wiki/National_Stock_Exchange_of_India,638740,commercial
Staples Center,http://en.wikipedia.org/wiki/Staples_Center,186080,stadium
Juilliard School,http://en.wikipedia.org/wiki/Juilliard_School,503246,university
Montmartre Cemetery,http://en.wikipedia.org/wiki/Montmartre_Cemetery,746647,cemetery
Sarah Lawrence College,http://en.wikipedia.org/wiki/Sarah_Lawrence_College,1051840,university
"Salem, Massachusetts",http://en.wikipedia.org/wiki/Salem%2C_Massachusetts,54140,city
Great Plains,http://en.wikipedia.org/wiki/Great_Plains,12707,region
Seattle–Tacoma International Airport,http://en.wikipedia.org/wiki/Seattle%E2%80%93Tacoma_International_Airport,14295,aerodrome
"Manali, Himachal Pradesh",http://en.wikipedia.org/wiki/Manali%2C_Himachal_Pradesh,83443,town
Wesleyan University,http://en.wikipedia.org/wiki/Wesleyan_University,49167,university
"Nashville, Tennessee",http://en.wikipedia.org/wiki/Nashville%2C_Tennessee,23197,city
Niagara Falls,http://en.wikipedia.org/wiki/Niagara_Falls,34221,waterfall
Illinois,http://en.wikipedia.org/wiki/Illinois,1204,state
United Kingdom,http://en.wikipedia.org/wiki/United_Kingdom,145,country
Delhi,http://en.wikipedia.org/wiki/Delhi,1353,city
Hudson River,http://en.wikipedia.org/wiki/Hudson_River,3140,river
Salton Sea,http://en.wikipedia.org/wiki/Salton_Sea,503301,lake
Montréal–Pierre Elliott Trudeau International Airport,http://en.wikipedia.org/wiki/Montr%C3%A9al%E2%80%93Pierre_Elliott_Trudeau_International_Airport,736627,aerodrome
"Flint, Michigan",http://en.wikipedia.org/wiki/Flint%2C_Michigan,490584,city
"Des Moines, Iowa",http://en.wikipedia.org/wiki/Des_Moines%2C_Iowa,39709,city
North Carolina,http://en.wikipedia.org/wiki/North_Carolina,1454,state
"Amarillo, Texas",http://en.wikipedia.org/wiki/Amarillo%2C_Texas,51691,city
"Newark, New Jersey",http://en.wikipedia.org/wiki/Newark%2C_New_Jersey,25395,city
Rhode Island,http://en.wikipedia.org/wiki/Rhode_Island,1387,state
Queens,http://en.wikipedia.org/wiki/Queens,18424,county
Colorado,http://en.wikipedia.org/wiki/Colorado,1261,state
"Burbank, California",http://en.wikipedia.org/wiki/Burbank%2C_California,39561,city
London Eye,http://en.wikipedia.org/wiki/London_Eye,160659,attraction
Fordham University,http://en.wikipedia.org/wiki/Fordham_University,130965,university
Calgary,http://en.wikipedia.org/wiki/Calgary,36312,city
Liberty University,http://en.wikipedia.org/wiki/Liberty_University,1468607,university
Jharkhand,http://en.wikipedia.org/wiki/Jharkhand,1184,state
Chicago,http://en.wikipedia.org/wiki/Chicago,1297,city
Ajanta Caves,http://en.wikipedia.org/wiki/Ajanta_Caves,184427,monument
Vermont,http://en.wikipedia.org/wiki/Vermont,16551,state
"Elgin, Illinois",http://en.wikipedia.org/wiki/Elgin%2C_Illinois,499887,monument
"Waco, Texas",http://en.wikipedia.org/wiki/Waco%2C_Texas,128244,city
San Andreas Fault,http://en.wikipedia.org/wiki/San_Andreas_Fault,191218,landform
"Camden, New Jersey",http://en.wikipedia.org/wiki/Camden%2C_New_Jersey,138367,city
"Flagstaff, Arizona",http://en.wikipedia.org/wiki/Flagstaff%2C_Arizona,79842,city
Missouri,http://en.wikipedia.org/wiki/Missouri,1581,state
Connecticut,http://en.wikipedia.org/wiki/Connecticut,779,state
Marrakesh,http://en.wikipedia.org/wiki/Marrakesh,101625,city
Puducherry,http://en.wikipedia.org/wiki/Puducherry,66743,state
Redwood National and State Parks,http://en.wikipedia.org/wiki/Redwood_National_and_State_Parks,191824,park
Philadelphia,http://en.wikipedia.org/wiki/Philadelphia,1345,city
Cornell University,http://en.wikipedia.org/wiki/Cornell_University,49115,university
Pyrenees,http://en.wikipedia.org/wiki/Pyrenees,12431,ridge
United States Capitol,http://en.wikipedia.org/wiki/United_States_Capitol,54109,government
Havana,http://en.wikipedia.org/wiki/Havana,1563,city
Casa Milà,http://en.wikipedia.org/wiki/Casa_Mil%C3%A0,207870,attraction
"Bellingham, Washington",http://en.wikipedia.org/wiki/Bellingham%2C_Washington,430267,city
Marseille,http://en.wikipedia.org/wiki/Marseille,23482,city
Sanchi,http://en.wikipedia.org/wiki/Sanchi,181123,monument
Karnataka,http://en.wikipedia.org/wiki/Karnataka,1185,state
Mumbai,http://en.wikipedia.org/wiki/Mumbai,1156,city
Washington metropolitan area,http://en.wikipedia.org/wiki/Washington_metropolitan_area,2367175,region
Washington Dulles International Airport,http://en.wikipedia.org/wiki/Washington_Dulles_International_Airport,466835,aerodrome
"Muscle Shoals, Alabama",http://en.wikipedia.org/wiki/Muscle_Shoals%2C_Alabama,79245,city
Oklahoma,http://en.wikipedia.org/wiki/Oklahoma,1649,state
Wall Street,http://en.wikipedia.org/wiki/Wall_Street,11690,commercial
Georgia (U.S. state),http://en.wikipedia.org/wiki/Georgia_%28U.S._state%29,1428,state
"Boca Raton, Florida",http://en.wikipedia.org/wiki/Boca_Raton%2C_Florida,29422,city
Virginia,http://en.wikipedia.org/wiki/Virginia,1370,state
Northeastern United States,http://en.wikipedia.org/wiki/Northeastern_United_States,24460,region
"Santa Fe, New Mexico",http://en.wikipedia.org/wiki/Santa_Fe%2C_New_Mexico,38555,city
"Aspen, Colorado",http://en.wikipedia.org/wiki/Aspen%2C_Colorado,205842,city
"Jackson, Mississippi",http://en.wikipedia.org/wiki/Jackson%2C_Mississippi,28198,city
"Naples, Florida",http://en.wikipedia.org/wiki/Naples%2C_Florida,257830,city
"Ithaca, New York",http://en.wikipedia.org/wiki/Ithaca%2C_New_York,217346,city
Lake Tahoe,http://en.wikipedia.org/wiki/Lake_Tahoe,169962,lake
Key West,http://en.wikipedia.org/wiki/Key_West,1187170,island
"Tacoma, Washington",http://en.wikipedia.org/wiki/Tacoma%2C_Washington,199797,city
Mall of America,http://en.wikipedia.org/wiki/Mall_of_America,659219,mall
High Roller (Ferris wheel),http://en.wikipedia.org/wiki/High_Roller_%28Ferris_wheel%29,892103,attraction
South Australia,http://en.wikipedia.org/wiki/South_Australia,35715,state
Sigiriya,http://en.wikipedia.org/wiki/Sigiriya,272153,castle
Hartsfield–Jackson Atlanta International Airport,http://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,214861,aerodrome
Brighton,http://en.wikipedia.org/wiki/Brighton,131491,city
Minneapolis,http://en.wikipedia.org/wiki/Minneapolis,36091,city
Mississippi,http://en.wikipedia.org/wiki/Mississippi,1494,state
Libya,http://en.wikipedia.org/wiki/Libya,1016,country
Kryptos,http://en.wikipedia.org/wiki/Kryptos,1345100,monument
Nebraska,http://en.wikipedia.org/wiki/Nebraska,1553,state
"Memphis, Tennessee",http://en.wikipedia.org/wiki/Memphis%2C_Tennessee,16563,city
"Little Rock, Arkansas",http://en.wikipedia.org/wiki/Little_Rock%2C_Arkansas,33405,city
"Palma, Majorca",http://en.wikipedia.org/wiki/Palma%2C_Majorca,8826,city
University of Paris,http://en.wikipedia.org/wiki/University_of_Paris,209842,university
Broadway (Manhattan),http://en.wikipedia.org/wiki/Broadway_%28Manhattan%29,11260,road
American University,http://en.wikipedia.org/wiki/American_University,168000,university
Louisiana,http://en.wikipedia.org/wiki/Louisiana,1588,state
Space Needle,http://en.wikipedia.org/wiki/Space_Needle,5317,attraction
Brigham Young University,http://en.wikipedia.org/wiki/Brigham_Young_University,332498,university
